Time,Mean1,Mean2,Mean4,Mean11,Mean56,Mean76,Background
1,406.674,372.686,336.45,329.185,564.859,332.97,285.921
2,404.114,371.244,335.924,328.322,561.193,331.245,285.172
3,404.055,370.622,335.396,327.506,560.465,330.97,283.028
4,403.947,370.49,334.747,327.131,559.649,331.422,283.773
5,403.922,370.284,335.344,327.898,556.954,331.808,285.612
6,403.478,370.321,334.692,327.804,559.288,330.656,287.132
7,403.907,369.633,334.07,327.536,555.051,331.057,288.115
8,403.591,370.357,334.039,326.879,557.255,330.462,288.056
9,404.294,369.926,333.692,326.992,560.324,330.797,286.79
10,403.71,370.607,333.879,327.214,554.564,330.595,285.894
11,404.719,371.754,335.757,333.989,597.663,351.409,284.435
12,427.94,426.683,367.864,391.575,680.953,364.117,285.278
13,540.017,478.557,417.764,413.405,732.028,367.495,286.818
14,619.073,502.474,439.767,419.962,755.432,368.694,285.599
15,653.131,511.35,447.668,421.911,767.715,368.675,285.964
16,664.136,515.506,451.393,423.227,768.125,368.083,288.008
17,669.892,516.919,451.901,423.849,771.761,368.585,288.952
18,670.783,519.671,453.869,424.195,765.735,369.127,287.861
19,668.627,518.796,454.406,423.687,764.236,369.184,287.813
20,668.573,519.544,455.078,424.665,764.009,369.848,287.773
21,669.153,519.668,454.349,424.425,767.583,371.125,287.501
22,669.893,519.392,454.653,424.2,767.698,371.838,287.798
23,667.954,521.397,456.807,425.094,766.837,370.243,287.836
24,669.47,520.987,456.325,425.261,768.42,370.66,287.219
25,669.952,522.211,456.22,425.769,768.233,370.977,286.913
26,669.956,523.543,456.786,425.368,768.304,371.73,288.302
27,669.437,522.775,456.13,425.66,769.361,371.101,287.076
28,669.951,523.089,456.949,425.573,766.937,370.531,286.468
29,670.817,523.499,455.651,425.486,764.411,371.251,287.069
30,671.1,524.251,456.244,425.084,765.704,370.49,285.884
31,670.721,524.526,457.154,424.906,765.563,370.54,285.798
32,672.535,526.028,457.759,425.725,773.691,370.272,283.972
33,673.968,525.789,458.527,427.209,771.447,370.002,284.222
34,674.693,527.264,458.798,426.409,771.577,370.37,285.378
35,674.913,527.905,460.108,427.213,773.712,370.93,284.202
36,676.441,529.149,460.228,427.621,772.451,370.872,284.424
37,679.879,530.939,461.61,428.128,776.796,370.851,284.525
38,679.071,531.52,462.473,428.587,774.846,371.921,284.202
39,678.988,531.874,462.615,429.213,774.441,371.267,283.643
40,680.838,532.084,464.734,428.916,770.868,371.782,283.414
41,684.591,534.581,465.303,429.188,772.572,371.607,282.103
42,685.323,534.875,465.424,429.93,770.47,372.858,282.929
43,687.048,536.786,465.404,430.782,767.682,372.246,283.32
44,689.712,537.261,467.807,430.765,771.823,370.825,281.827
45,693.797,538.435,468.222,430.766,771.061,372.393,282.216
46,697.415,539.123,469.875,431.556,768.912,371.613,280.472
47,701.902,541.035,471.137,433.088,770.532,372.072,281.562
48,703.205,540.953,470.548,433.276,768.738,372.253,281.696
49,706.971,542.56,471.894,434.031,769.482,372.934,281.651
50,709.728,544.48,474.894,434.976,769.947,373.86,281.44
51,712.127,544.772,474.642,435.224,768.632,373.083,282.148
52,714.451,545.43,476.066,435.165,767.55,373.178,279.985
53,717.285,546.795,476.967,436.047,769.248,373.445,281.675
54,718.444,547.729,478.728,437.174,768.644,373.273,281.045
55,720.667,548.838,480.026,438.266,769.408,374.01,281.387
56,721.482,549.341,479.723,439.139,770.713,374.392,281.016
57,723.553,552.279,483.249,439.467,771.021,373.574,281.849
58,726.38,552.714,482.215,440.464,769.409,374.737,281.399
59,726.151,552.076,483.862,441.029,770.886,375.186,281.183
60,726.867,553.27,484.337,441.812,769.827,374.729,280.606
61,727.712,554.452,484.928,442.456,767.626,375.14,281.495
62,730.036,555.067,485.566,443.653,770.679,374.61,280.225
63,728.697,555.33,486.032,444.715,769.214,375.282,282.476
64,729.613,556.702,487.35,445.75,766.208,374.759,280.626
65,729.627,557.04,487.271,446.158,768.189,375.518,281.685
66,732.527,557.515,487.315,445.537,770.69,376.146,281.435
67,731.283,558.744,488.669,447.141,768.217,376.056,280.589
68,730.003,558.986,487.992,447.244,767.448,375.75,280.818
69,730.537,559.89,489.111,447.831,766.441,376.549,280.334
70,731.421,561.717,490.301,447.898,766.937,375.583,279.395
71,731.907,560.682,489.69,449.069,769.643,377.326,280.476
72,731.632,562.147,490.76,448.86,768.273,376.157,280.982
73,731.92,562.159,489.454,448.781,766.534,376.656,280.598
74,731.202,563.492,490.665,449.038,767.379,376.522,280.694
75,731.312,564.106,490.246,449.627,765.887,376.97,280.289
76,731.284,565.005,491.884,449.871,767.219,377.017,279.406
77,731.339,565.071,490.713,449.734,767.781,377.346,279.902
78,731.68,565.067,492.456,449.659,766.739,379.364,280.538
79,731.315,565.888,491.186,449.019,765.079,378.042,282.646
80,730.98,567.468,491.513,449.373,766.625,378.546,279.106
